Correction,StageVar,Group,Clock,n,mean,sd,median,q1,q3,min,max
Raw,DiseaseGroup,Healthy,PCPhenoAge,74,-5.02,5.54,-4.53,-7.63,-1.52,-17.74,11.75
Raw,DiseaseGroup,Healthy obese,PCPhenoAge,228,2.74,5.83,3.09,-1.14,6.75,-12.44,17.49
Raw,DiseaseGroup,MASH,PCPhenoAge,79,-2.89,5.92,-2.2,-6.29,1.37,-17.84,9.75
Raw,DiseaseGroup,MASL,PCPhenoAge,50,-0.85,7.77,-1.01,-4.74,3.03,-20.58,25.61
Raw,DiseaseGroup,Mild fibrosis,PCPhenoAge,14,1.58,9.25,-1.2,-5.52,8.55,-10.48,21.01
Raw,DiseaseGroup,Advanced fibrosis,GrimAgeV1,120,1.07,2.98,1.24,-0.82,3.29,-7.81,7.17
Raw,DiseaseGroup,Healthy,GrimAgeV1,74,-0.21,2.56,-0.5,-1.9,1.34,-5.33,8.12
Raw,DiseaseGroup,Healthy obese,GrimAgeV1,228,-0.62,2.7,-0.84,-2.67,1.14,-6.59,11.13
Raw,DiseaseGroup,MASH,GrimAgeV1,79,-0.46,2.63,-0.3,-2.27,1.71,-6.89,4.81
Raw,DiseaseGroup,MASL,GrimAgeV1,50,1,3.37,0.67,-0.69,2.26,-5.27,12.65
Raw,DiseaseGroup,Mild fibrosis,GrimAgeV1,14,1.14,2.3,0.54,-0.36,2.63,-2.42,4.7
Raw,DiseaseGroup,Advanced fibrosis,PCGrimAge,120,0.4,1.47,0.19,-0.79,1.56,-2.1,4.12
Raw,DiseaseGroup,Healthy,PCGrimAge,74,-0.41,1.82,-0.4,-1.71,0.72,-4.44,4.42
Raw,DiseaseGroup,Healthy obese,PCGrimAge,228,-0.21,1.67,-0.42,-1.45,0.87,-3.33,4.65
Raw,DiseaseGroup,MASH,PCGrimAge,79,-0.48,2.29,-0.64,-2.06,0.43,-4.23,8.38
Raw,DiseaseGroup,MASL,PCGrimAge,50,0.93,3.17,0.57,-1.11,1.78,-3.27,14.95
Raw,DiseaseGroup,Mild fibrosis,PCGrimAge,14,1.67,2.93,1.2,-0.54,3.22,-1.87,8.85
Raw,DiseaseGroup,Advanced fibrosis,HepClock,120,2.88,3.77,2.59,0.33,5.33,-6.33,14.14
Raw,DiseaseGroup,Healthy,HepClock,74,-2.27,5.11,-1.9,-4.11,-0.09,-25.2,8.66
Raw,DiseaseGroup,Healthy obese,HepClock,228,-1.82,2.85,-1.69,-3.64,-0.22,-11.47,7.6
Raw,DiseaseGroup,MASH,HepClock,79,1.79,5.14,1.8,-0.98,3.25,-13.08,28.87
Raw,DiseaseGroup,MASL,HepClock,50,0.91,9.75,0.04,-2.02,2.03,-28.8,43.82
Raw,DiseaseGroup,Mild fibrosis,HepClock,14,3.61,7.83,1.9,-2.21,7.67,-6.27,20.32
Raw,DiseaseGroup,Advanced fibrosis,LiverClock,120,2.28,3.53,2.18,0.58,4.32,-8.74,10.84
Raw,DiseaseGroup,Healthy,LiverClock,74,-1.69,4.85,-1.63,-3.91,0.69,-19.66,14.32
Raw,DiseaseGroup,Healthy obese,LiverClock,228,-0.55,2.53,-0.47,-1.89,1.15,-8.12,5.15
Raw,DiseaseGroup,MASH,LiverClock,79,-0.18,5.57,-0.36,-3.32,2.06,-9.53,37.27
Raw,DiseaseGroup,MASL,LiverClock,50,-0.55,8.21,-1.88,-3.33,1.13,-16.68,28.89
Raw,DiseaseGroup,Mild fibrosis,LiverClock,14,1.31,8.57,-1.17,-3.85,2.68,-8.05,22
Raw,Progression3,Advanced fibrosis,Horvath1,120,2.69,4.66,3.16,-0.64,5.81,-11.23,15.38
Raw,Progression3,Healthy,Horvath1,302,-2.04,4.92,-1.78,-5.19,1.07,-24.3,15.27
Raw,Progression3,Mild disease,Horvath1,143,2.06,7.52,2.23,-1.82,5.47,-15.57,33.83
Raw,Progression3,Advanced fibrosis,PCHorvath1,120,5.85,4.87,6.07,2.6,9.17,-10.99,18.53
Raw,Progression3,Healthy,PCHorvath1,302,-2.27,5.94,-2.23,-6.38,2.09,-26.47,13.02
Raw,Progression3,Mild disease,PCHorvath1,143,-0.11,6.84,0.83,-4.82,3.57,-25.19,24.61
Raw,Progression3,Advanced fibrosis,Horvath2,120,-2.64,6.42,-2.43,-7.16,1.27,-18.93,17.08
Raw,Progression3,Healthy,Horvath2,302,0.39,6.33,0.57,-4.03,4.37,-21.01,20.44
Raw,Progression3,Mild disease,Horvath2,143,1.4,10.15,2.72,-2.2,6.81,-83.36,18.39
Raw,Progression3,Advanced fibrosis,PCHorvath2,120,7.52,5.29,8.27,4.12,10.63,-12.26,21.16
Raw,Progression3,Healthy,PCHorvath2,302,-2.31,7.49,-2.51,-7.38,3.27,-28.72,15.18
Raw,Progression3,Mild disease,PCHorvath2,143,-1.44,7.71,-1.56,-5.74,2.27,-20.46,34.72
Raw,Progression3,Advanced fibrosis,Hannum,120,-3.18,4.79,-3.26,-6.22,-0.31,-13.25,13.76
Raw,Progression3,Healthy,Hannum,302,1.6,4.48,1.69,-0.98,4.21,-15.23,14.61
Raw,Progression3,Mild disease,Hannum,143,-0.71,7.07,0.98,-3.5,3.5,-48.46,12.41
Raw,Progression3,Advanced fibrosis,PCHannum,120,0.58,4.32,0.5,-2.74,3.18,-10.81,13.42
Raw,Progression3,Healthy,PCHannum,302,-0.34,4.9,-0.47,-3.46,2.62,-17.34,14.17
Raw,Progression3,Mild disease,PCHannum,143,0.24,5.68,-0.07,-3.68,3.65,-14.31,22.61
Raw,Progression3,Advanced fibrosis,PhenoAge,120,1.72,6.26,1.35,-2.65,6.41,-12.69,20.67
Raw,Progression3,Healthy,PhenoAge,302,-2.08,5.96,-2.19,-5.74,1.81,-22.84,11.75
Raw,Progression3,Mild disease,PhenoAge,143,2.94,11.06,2.18,-2.97,7.44,-27.96,59.12
Raw,Progression3,Advanced fibrosis,PCPhenoAge,120,-0.04,6.17,0.15,-4.42,4.11,-15.03,17.9
Raw,Progression3,Healthy,PCPhenoAge,302,0.84,6.66,0.9,-3.61,5.28,-17.74,17.49
Raw,Progression3,Mild disease,PCPhenoAge,143,-1.74,7.07,-1.92,-5.9,2.13,-20.58,25.61
Raw,Progression3,Advanced fibrosis,GrimAgeV1,120,1.07,2.98,1.24,-0.82,3.29,-7.81,7.17
Raw,Progression3,Healthy,GrimAgeV1,302,-0.52,2.66,-0.7,-2.43,1.25,-6.59,11.13
Raw,Progression3,Mild disease,GrimAgeV1,143,0.21,2.96,0.19,-1.72,2.08,-6.89,12.65
Raw,Progression3,Advanced fibrosis,PCGrimAge,120,0.4,1.47,0.19,-0.79,1.56,-2.1,4.12
Raw,Progression3,Healthy,PCGrimAge,302,-0.26,1.7,-0.41,-1.47,0.86,-4.44,4.65
Raw,Progression3,Mild disease,PCGrimAge,143,0.22,2.79,-0.21,-1.56,1.34,-4.23,14.95
Raw,Progression3,Advanced fibrosis,HepClock,120,2.88,3.77,2.59,0.33,5.33,-6.33,14.14
Raw,Progression3,Healthy,HepClock,302,-1.93,3.54,-1.72,-3.74,-0.15,-25.2,8.66
Raw,Progression3,Mild disease,HepClock,143,1.66,7.31,0.77,-1.59,3.22,-28.8,43.82
Raw,Progression3,Advanced fibrosis,LiverClock,120,2.28,3.53,2.18,0.58,4.32,-8.74,10.84
Raw,Progression3,Healthy,LiverClock,302,-0.83,3.28,-0.72,-2.39,1.09,-19.66,14.32
Raw,Progression3,Mild disease,LiverClock,143,-0.17,6.88,-1.36,-3.42,1.71,-16.68,37.27
